D,n_vectors,transfer_GB,original_transfer_GB,transfer_saved_GB,transfer_reduction_pct
32,10000,0.00128,0.0512,0.04992,97.5
32,100000,0.0128,0.512,0.4992,97.5
32,1000000,0.128,5.12,4.992,97.5
32,10000000,1.28,51.2,49.92,97.5
32,100000000,12.8,512.0,499.2,97.5
64,10000,0.00256,0.0512,0.04864,95.0
64,100000,0.0256,0.512,0.4864,95.0
64,1000000,0.256,5.12,4.864,95.0
64,10000000,2.56,51.2,48.64,95.0
64,100000000,25.6,512.0,486.4,95.0
128,10000,0.00512,0.0512,0.04608,90.0
128,100000,0.0512,0.512,0.4608,90.0
128,1000000,0.512,5.12,4.608,90.0
128,10000000,5.12,51.2,46.08,90.0
128,100000000,51.2,512.0,460.8,90.0
256,10000,0.01024,0.0512,0.04096,80.0
256,100000,0.1024,0.512,0.4096,80.0
256,1000000,1.024,5.12,4.096,80.0
256,10000000,10.24,51.2,40.96,80.0
256,100000000,102.4,512.0,409.6,80.0
512,10000,0.02048,0.0512,0.03072,60.0
512,100000,0.2048,0.512,0.3072,60.0
512,1000000,2.048,5.12,3.072,60.0
512,10000000,20.48,51.2,30.72,60.0
512,100000000,204.8,512.0,307.2,60.0
768,10000,0.03072,0.0512,0.02048,40.0
768,100000,0.3072,0.512,0.2048,40.0
768,1000000,3.072,5.12,2.048,40.0
768,10000000,30.72,51.2,20.48,40.0
768,100000000,307.2,512.0,204.8,40.0
1024,10000,0.04096,0.0512,0.01024,19.999999999999996
1024,100000,0.4096,0.512,0.1024,19.999999999999996
1024,1000000,4.096,5.12,1.024,19.999999999999996
1024,10000000,40.96,51.2,10.24,19.999999999999996
1024,100000000,409.6,512.0,102.4,19.999999999999996
1280,10000,0.0512,0.0512,0.0,0.0
1280,100000,0.512,0.512,0.0,0.0
1280,1000000,5.12,5.12,0.0,0.0
1280,10000000,51.2,51.2,0.0,0.0
1280,100000000,512.0,512.0,0.0,0.0
