split,target,n_sequences,n_unique_labels,min_label,max_label
train,class_label,12312,7,0,6
train,fold_label,12312,1195,0,1194
train,superfamily_label,12312,1462,0,1822
train,family_label,12312,2251,0,3439
valid,class_label,736,7,0,6
valid,fold_label,736,319,0,456
valid,superfamily_label,736,511,0,1960
valid,family_label,736,657,6,3887
family_holdout,class_label,1272,7,0,6
family_holdout,fold_label,1272,189,0,188
family_holdout,superfamily_label,1272,235,0,234
family_holdout,family_label,1272,310,0,309
superfamily_holdout,class_label,1254,7,0,6
superfamily_holdout,fold_label,1254,362,0,416
superfamily_holdout,superfamily_label,1254,427,0,517
superfamily_holdout,family_label,1254,791,310,1100
fold_holdout,class_label,718,6,0,6
fold_holdout,fold_label,718,136,0,456
fold_holdout,superfamily_label,718,361,518,878
fold_holdout,family_label,718,398,1101,1498
