D,n_vectors,n_queries,dimension_scaled_operations,original_operations,relative_cost,cost_reduction_pct
32,10000,1000,320000000,12800000000,0.025,97.5
32,10000,10000,3200000000,128000000000,0.025,97.5
32,10000,100000,32000000000,1280000000000,0.025,97.5
32,10000,1000000,320000000000,12800000000000,0.025,97.5
32,100000,1000,3200000000,128000000000,0.025,97.5
32,100000,10000,32000000000,1280000000000,0.025,97.5
32,100000,100000,320000000000,12800000000000,0.025,97.5
32,100000,1000000,3200000000000,128000000000000,0.025,97.5
32,1000000,1000,32000000000,1280000000000,0.025,97.5
32,1000000,10000,320000000000,12800000000000,0.025,97.5
32,1000000,100000,3200000000000,128000000000000,0.025,97.5
32,1000000,1000000,32000000000000,1280000000000000,0.025,97.5
32,10000000,1000,320000000000,12800000000000,0.025,97.5
32,10000000,10000,3200000000000,128000000000000,0.025,97.5
32,10000000,100000,32000000000000,1280000000000000,0.025,97.5
32,10000000,1000000,320000000000000,12800000000000000,0.025,97.5
32,100000000,1000,3200000000000,128000000000000,0.025,97.5
32,100000000,10000,32000000000000,1280000000000000,0.025,97.5
32,100000000,100000,320000000000000,12800000000000000,0.025,97.5
32,100000000,1000000,3200000000000000,128000000000000000,0.025,97.5
64,10000,1000,640000000,12800000000,0.05,95.0
64,10000,10000,6400000000,128000000000,0.05,95.0
64,10000,100000,64000000000,1280000000000,0.05,95.0
64,10000,1000000,640000000000,12800000000000,0.05,95.0
64,100000,1000,6400000000,128000000000,0.05,95.0
64,100000,10000,64000000000,1280000000000,0.05,95.0
64,100000,100000,640000000000,12800000000000,0.05,95.0
64,100000,1000000,6400000000000,128000000000000,0.05,95.0
64,1000000,1000,64000000000,1280000000000,0.05,95.0
64,1000000,10000,640000000000,12800000000000,0.05,95.0
64,1000000,100000,6400000000000,128000000000000,0.05,95.0
64,1000000,1000000,64000000000000,1280000000000000,0.05,95.0
64,10000000,1000,640000000000,12800000000000,0.05,95.0
64,10000000,10000,6400000000000,128000000000000,0.05,95.0
64,10000000,100000,64000000000000,1280000000000000,0.05,95.0
64,10000000,1000000,640000000000000,12800000000000000,0.05,95.0
64,100000000,1000,6400000000000,128000000000000,0.05,95.0
64,100000000,10000,64000000000000,1280000000000000,0.05,95.0
64,100000000,100000,640000000000000,12800000000000000,0.05,95.0
64,100000000,1000000,6400000000000000,128000000000000000,0.05,95.0
128,10000,1000,1280000000,12800000000,0.1,90.0
128,10000,10000,12800000000,128000000000,0.1,90.0
128,10000,100000,128000000000,1280000000000,0.1,90.0
128,10000,1000000,1280000000000,12800000000000,0.1,90.0
128,100000,1000,12800000000,128000000000,0.1,90.0
128,100000,10000,128000000000,1280000000000,0.1,90.0
128,100000,100000,1280000000000,12800000000000,0.1,90.0
128,100000,1000000,12800000000000,128000000000000,0.1,90.0
128,1000000,1000,128000000000,1280000000000,0.1,90.0
128,1000000,10000,1280000000000,12800000000000,0.1,90.0
128,1000000,100000,12800000000000,128000000000000,0.1,90.0
128,1000000,1000000,128000000000000,1280000000000000,0.1,90.0
128,10000000,1000,1280000000000,12800000000000,0.1,90.0
128,10000000,10000,12800000000000,128000000000000,0.1,90.0
128,10000000,100000,128000000000000,1280000000000000,0.1,90.0
128,10000000,1000000,1280000000000000,12800000000000000,0.1,90.0
128,100000000,1000,12800000000000,128000000000000,0.1,90.0
128,100000000,10000,128000000000000,1280000000000000,0.1,90.0
128,100000000,100000,1280000000000000,12800000000000000,0.1,90.0
128,100000000,1000000,12800000000000000,128000000000000000,0.1,90.0
256,10000,1000,2560000000,12800000000,0.2,80.0
256,10000,10000,25600000000,128000000000,0.2,80.0
256,10000,100000,256000000000,1280000000000,0.2,80.0
256,10000,1000000,2560000000000,12800000000000,0.2,80.0
256,100000,1000,25600000000,128000000000,0.2,80.0
256,100000,10000,256000000000,1280000000000,0.2,80.0
256,100000,100000,2560000000000,12800000000000,0.2,80.0
256,100000,1000000,25600000000000,128000000000000,0.2,80.0
256,1000000,1000,256000000000,1280000000000,0.2,80.0
